ReviewId,mentions
8091,onion
8105,chicken
8111,chicken
8116,pasta
8118,mushrooms
8118,cauliflower
8131,garlic
8142,tuna
8147,rice
8147,chicken
8147,water
8164,broccoli
8164,cauliflower
8164,tomatoes
8168,potatoes
8168,onion
8168,sausage
8168,salsa
8169,ketchup
8175,sugar
8194,rosemary
8196,tofu
8196,potatoes
8196,eggs
8198,milk
8198,butter
8201,onions
8201,eggs
8201,pepper
8215,salt
8215,wine
8215,beef
8215,turnips
8215,thyme
8215,tomatoes
8233,chocolate
8235,sugar
8235,vinegar
8239,water
8239,pasta
8239,chicken
8241,salt
8241,pepper
8242,cumin
8242,oatmeal
8246,vanilla
8247,chicken
8248,broccoli
8251,raisins
8251,cinnamon
8251,oatmeal
8263,beef
8263,water
8265,coconut
8265,yogurt
8284,onion
8284,onions
8292,bacon
8296,mushroom
8296,chicken
8305,egg
8323,tuna
8324,cumin
8324,rice
8324,salsa
8331,garlic
8331,cheese
8331,potatoes
8331,herbs
8333,vanilla
8340,turkey
8343,chicken
8344,potatoes
8344,onion
8344,mushroom
8344,pork
8353,cinnamon
8356,mint
8356,chocolate
8367,potatoes
8367,pork
8367,flour
8367,water
8367,mushroom
8377,salt
8377,flour
8377,water
8379,sugar
8379,vanilla
8395,butter
8401,sugar
8401,pepper
8401,cayenne
8401,ketchup
8406,mustard
8414,chicken
8416,chocolate
8418,cheese
8425,herbs
8447,chocolate
8448,vinegar
8448,greens
8454,broccoli
8454,beef
8455,garlic
8459,butter
8491,garlic
8491,pepper
8502,rice
8505,strawberry
8505,sugar
8505,chocolate
8521,macaroni
8521,egg
8537,beets
8539,sugar
8542,potato
8542,fat
8543,horseradish
8543,beef
8548,sugar
8548,apples
8549,potatoes
8556,chicken
8559,mushrooms
8559,ham
8559,chicken
8585,banana
8585,walnuts
8586,allspice
8586,vinegar
8591,cheese
8592,pepper
8595,cheese
8595,potatoes
8596,garlic
8596,cloves
8600,corn
8600,flour
8634,chocolate
8641,cumin
8643,cheese
8649,egg
8649,garlic
8679,carrots
8679,onions
8681,garlic
8684,pineapple
8684,cheese
8684,pepper
8688,cheese
8689,pasta
8703,banana
8703,bananas
8706,orange
8706,tomatoes
8706,pasta
8708,potato
8708,potatoes
8717,shrimp
8717,garlic
8718,curry
8718,bisquick
8722,curry
8725,egg
8725,chicken
8727,butter
8727,chicken
8744,milk
8744,cheese
8748,banana
8766,cheese
8770,fat
8772,pork
8780,mushrooms
8790,cinnamon
8791,prosciutto
8791,eggs
8791,sausage
8791,wine
8799,orange
8799,cherries
8813,sugar
8813,garlic
8813,onion
8814,sugar
8814,corn
8814,coconut
8817,beer
8819,sugar
8819,egg
8823,mushrooms
8823,onions
8823,peas
8848,pepper
8856,potatoes
8856,pork
8857,shrimp
8857,cheese
8862,sugar
8866,milk
8866,butter
8866,flour
8866,fat
8869,macaroni
8869,celery
8869,pepper
8871,flour
8871,chicken
8879,onion
8879,potatoes
8879,water
8888,chocolate
8893,rice
8898,walnuts
8899,sugar
8903,spinach
8909,cheese
8909,potatoes
8916,chicken
8921,milk
8921,sugar
8921,fat
8922,chocolate
8924,beef
8924,chicken
8944,egg
8953,chocolate
8957,cheese
8957,fat
8957,milk
8957,mushroom
8957,sausage
8957,bisquick
8979,fat
8992,water
8994,rice
8996,onions
8996,beets
8996,pepper
8998,oregano
8998,potatoes
9001,chicken
9001,fat
9004,banana
9004,coconut
9008,lemon
9008,rice
9015,salt
9015,cinnamon
9015,pepper
9021,lemon
9021,chicken
9022,vanilla
9024,potato
9024,chicken
9028,cheese
9039,pepper
9041,salt
9041,turnip
9043,strawberry
9044,chicken
9049,garlic
9059,garlic
9061,garlic
9061,cheese
9067,pasta
9072,apple
9087,salt
9087,sage
9087,garlic
9087,rosemary
9087,chicken
9088,garlic
9088,flour
9108,apples
9108,pork
9109,honey
9110,cabbage
9111,ham
9118,turkey
9118,chicken
9121,milk
9121,potato
9121,corn
9137,broccoli
9137,cheese
9138,tuna
9138,vinegar
9142,salt
9142,mushroom
9165,apple
9165,flour
9165,butter
9166,onion
9168,gingerroot
9175,carrots
9175,celery
9180,chicken
9183,rice
9190,sugar
9190,spaghetti
